tournament;event_id;date;weekly
Koopa Armada;245904;2018-12-15;0
Smash Season Fest: Smash Heat;288437;2019-01-26;0
Smash Heat 2;318427;2019-02-23;0
Smash N' Magic;318392;2019-03-17;0
Smash N' Magic - 2nd Edition;341657;2019-05-19;0
Smash Season Fest: Falling Leaves;352971;2019-05-25;0
Twilight's Awakening;360966;2019-06-23;0
Fight in Rio for the Future;362434;2019-07-13;0
Smash N' Magic - 3rd Edition;366309;2019-07-21;0
Battle Of Hyrule;380798;2019-08-18;0
Smash n' Magic - 4th Edition;386097;2019-09-15;0
Try Hard Smash in Rio #1;410897;2019-10-27;1
Smash n' Magic - 5th Edition;402932;2019-11-10;0
Try Hard Smash in Rio #2;421404;2019-11-24;1
TwS - Forest Temple;417653;2019-11-30;0
Try Hard Smash in Rio #3;424548;2019-12-08;1
TORNEIO LEGAL;428082;2019-12-22;0
Try Hard Smash in Rio #4;432809;2020-01-05;1
Set Fire 3;430976;2020-01-26;0
TwS - Fire Temple;426879;2020-02-01;0
Try Hard Smash in Rio #5;442471;2020-02-09;1
Beer Reversal #12 - Primeiro de 2020!;447524;2020-02-16;0
Smash n' Magic - 6th Edition;436393;2020-03-01;0
Try Hard Smash in Rio #6;457866;2020-03-08;1
