"player","elo","set_wins","total_sets","set_perc","game_wins","total_games","game_perc","tournaments","old_elo","var_elo"
"Luffy",1894.41665508078,75,78,0.961538461538462,191,231,0.826839826839827,13,1894.41665508078,0
"RevoS",1758.93172064183,85,110,0.772727272727273,228,335,0.680597014925373,17,1755.33021922966,3.60150141216695
"Sabino",1733.81569894327,41,61,0.672131147540984,102,167,0.610778443113772,10,1733.81569894327,0
"Sky",1691.0107911301,41,59,0.694915254237288,104,170,0.611764705882353,10,1691.0107911301,0
"FireEmblem",1685.15374502563,40,66,0.606060606060606,98,174,0.563218390804598,13,1685.15374502563,0
"Ultimate",1678.86677231129,62,96,0.645833333333333,165,280,0.589285714285714,17,1678.86677231129,0
"LUGIA",1674.73947677358,32,49,0.653061224489796,86,140,0.614285714285714,9,1674.73947677358,0
"BeBop",1651.5963573647,31,48,0.645833333333333,76,125,0.608,9,1651.5963573647,0
"Sosser",1642.5078527527,15,21,0.714285714285714,39,58,0.672413793103448,3,1642.5078527527,0
"Amortax",1640.01970301844,41,62,0.661290322580645,103,171,0.60233918128655,11,1640.01970301844,0
"Roboto",1633.32953800316,23,36,0.638888888888889,62,102,0.607843137254902,7,1633.32953800316,0
"RitsuoFox",1620.77223831003,17,25,0.68,41,64,0.640625,4,1623.18692671456,-2.41468840452808
"Player 7",1618.12489213233,6,8,0.75,17,26,0.653846153846154,1,1618.12489213233,0
"Joaoarara",1612.00978738099,28,50,0.56,66,119,0.554621848739496,11,1612.00978738099,0
"Haxwei",1606.43254177976,50,80,0.625,120,204,0.588235294117647,15,1606.43254177976,0
"Mimok",1605.45340968988,41,64,0.640625,103,181,0.569060773480663,12,1598.26068874572,7.1927209441626
"Ihmo",1600.73902526938,37,64,0.578125,97,178,0.544943820224719,14,1600.73902526938,0
"Vyse",1588.36822173171,19,35,0.542857142857143,50,86,0.581395348837209,8,1588.36822173171,0
"mysterE",1584.29212553855,16,26,0.615384615384615,41,72,0.569444444444444,5,1584.29212553855,0
"Chino",1570.82557506522,25,43,0.581395348837209,59,106,0.556603773584906,9,1570.82557506522,0
