"p1","score1","p2","score2","completed","tournament","first_to"
"D4C",0,"Guizo",2,1544892553,"Koopa Armada",2
"Fakinha",2,"Gotelho",0,1544892585,"Koopa Armada",2
"Blaze",1,"Thales",2,1544893041,"Koopa Armada",2
"Mr. Z",0,"Leso",2,1544893052,"Koopa Armada",2
"Mick",2,"PokaTranca",0,1544893061,"Koopa Armada",2
"Celly",0,"IzZI127",2,1544893084,"Koopa Armada",2
"Sully",2,"Neoob",1,1544893090,"Koopa Armada",2
"BrianGun",2,"Aisengobay",0,1544893096,"Koopa Armada",2
"Drei",0,"Dr. Lemos",2,1544893215,"Koopa Armada",2
"chapeudopresto",2,"Linus",0,1544893336,"Koopa Armada",2
"Quantumleaper NEO",2,"LukeThomaz",0,1544893391,"Koopa Armada",2
"Maycky",2,"Renault",1,1544893537,"Koopa Armada",2
"Jayache",0,"Sabino",2,1544893568,"Koopa Armada",2
"Owlogy",0,"Daftmind",2,1544893584,"Koopa Armada",2
"Burtão",2,"Frostfire",1,1544893667,"Koopa Armada",2
"Afro",2,"Ozzy",0,1544893791,"Koopa Armada",2
"GodUsopp",0,"Maleson",2,1544893874,"Koopa Armada",2
"Luma",2,"Mini Roc",0,1544893896,"Koopa Armada",2
"Vyse",2,"IzZI127",0,1544893995,"Koopa Armada",2
"Dethnerv",2,"Artch",1,1544894027,"Koopa Armada",2
"FullMoon",2,"TROVS",0,1544894982,"Koopa Armada",2
"Roc~",2,"Mick",0,1544895017,"Koopa Armada",2
"Patraozin",0,"MiniGoku",2,1544895070,"Koopa Armada",2
"Zord",0,"Maleson",2,1544895097,"Koopa Armada",2
"Miguelindo",0,"Guizo",2,1544895197,"Koopa Armada",2
"Cyber Twilight",2,"Afro",1,1544895274,"Koopa Armada",2
"Quantumleaper NEO",0,"Fakinha",2,1544895347,"Koopa Armada",2
"Messias",1,"Sully",2,1544895543,"Koopa Armada",2
"KD",0,"Abaca",2,1544895642,"Koopa Armada",2
"Prolo",2,"Calvao",0,1544895693,"Koopa Armada",2
"Roboto",2,"chapeudopresto",0,1544896032,"Koopa Armada",2
"Danny",0,"Monad0",2,1544896046,"Koopa Armada",2
"RoD",2,"Gim",0,1544896066,"Koopa Armada",2
"Zombie Hunter",0,"Korn",2,1544896263,"Koopa Armada",2
"Sonic Orochi",2,"Pete",0,1544896322,"Koopa Armada",2
"Leso",2,"Moonflair",0,1544896489,"Koopa Armada",2
"BeBop",2,"Daftmind",0,1544896601,"Koopa Armada",2
"Sky",2,"Thiago Neoob",0,1544897224,"Koopa Armada",2
"RitsuoFox",2,"Prolo",1,1544897261,"Koopa Armada",2
"Ultimate",2,"Maycky",0,1544897297,"Koopa Armada",2
"donotc0ntinue",2,"Pe de Moleque",1,1544897374,"Koopa Armada",2
"Luij",0,"Dethnerv",2,1544897413,"Koopa Armada",2
"Elias",2,"Burtão",1,1544897498,"Koopa Armada",2
"Joaoarara",0,"SKPeter",2,1544897610,"Koopa Armada",2
"Floko",2,"Kanto",0,1544898084,"Koopa Armada",2
"Neptune",0,"RoD",2,1544898256,"Koopa Armada",2
"Afro",2,"Mr. Z",0,1544898331,"Koopa Armada",2
"BeBop",2,"Korn",0,1544898414,"Koopa Armada",2
"Jab Air",1,"Sabino",2,1544898728,"Koopa Armada",2
"Cyber Twilight",2,"BrianGun",1,1544898848,"Koopa Armada",2
"Blaze",0,"Afro",2,1544898920,"Koopa Armada",2
"BrunoLana",1,"MiniGoku",2,1544899025,"Koopa Armada",2
