"p1","score1","p2","score2","completed","tournament"
"D4C",0,"Guizo",2,1544892553,"Koopa Armada"
"Fakinha",2,"Gotelho",0,1544892585,"Koopa Armada"
"OnZ",-1,"Pete",0,1544892840,"Koopa Armada"
"Pe de Moleque",0,"Damin",-1,1544892957,"Koopa Armada"
"FR7",-1,"Korn",0,1544892965,"Koopa Armada"
"Flamon",-1,"Kanto",0,1544892993,"Koopa Armada"
"Blaze",1,"Thales",2,1544893041,"Koopa Armada"
"Moonflair",0,"NotDrope",-1,1544893048,"Koopa Armada"
"Mr. Z",0,"Leso",2,1544893052,"Koopa Armada"
"MICK",2,"PokaTranca",0,1544893061,"Koopa Armada"
"LeoDT",-1,"Luke Thomaz",0,1544893066,"Koopa Armada"
"Lorenzo",0,"Luke Thomaz",-1,1544893071,"Koopa Armada"
"Celly",0,"IzZI127",2,1544893084,"Koopa Armada"
"Sully",2,"Neoob",1,1544893090,"Koopa Armada"
"BrianGun",2,"Aisengobay",0,1544893096,"Koopa Armada"
"Drei",0,"Dr. Lemos",2,1544893215,"Koopa Armada"
"SKPeter",0,"Xoni",-1,1544893274,"Koopa Armada"
"Thiago Neoob",0,"Rafaellsg",-1,1544893279,"Koopa Armada"
"Apollo",-1,"Joker",0,1544893307,"Koopa Armada"
"chapeudopresto",2,"Linus",0,1544893336,"Koopa Armada"
"TROVS",0,"Monge",-1,1544893343,"Koopa Armada"
"Dr. Lemos",0,"Joker",-1,1544893366,"Koopa Armada"
"Quantumleaper NEO",2,"LukeThomaz",0,1544893391,"Koopa Armada"
"Festa",0,"Lee King",-1,1544893503,"Koopa Armada"
"Maycky",2,"Renault",1,1544893537,"Koopa Armada"
"Jayache",0,"Sabino",2,1544893568,"Koopa Armada"
"Owlogy",0,"Daftmind",2,1544893584,"Koopa Armada"
"Burt<e3>o",2,"Frostfire",1,1544893667,"Koopa Armada"
"Afro",2,"Ozzy",0,1544893791,"Koopa Armada"
"GodUsopp",0,"Maleson",2,1544893874,"Koopa Armada"
"Luma",2,"Mini Roc",0,1544893896,"Koopa Armada"
"HeadBenzi",-1,"Luma",0,1544893925,"Koopa Armada"
"Vyse",2,"IzZI127",0,1544893995,"Koopa Armada"
"Dethnerv",2,"Artch",1,1544894027,"Koopa Armada"
"Monado",0,"SGW | Quip",-1,1544894494,"Koopa Armada"
"FullMoon",2,"TROVS",0,1544894982,"Koopa Armada"
"Roc~",2,"MICK",0,1544895017,"Koopa Armada"
"Patraozin",0,"MiniGoku",2,1544895070,"Koopa Armada"
"Zord",0,"Maleson",2,1544895097,"Koopa Armada"
"Miguelindo",0,"Guizo",2,1544895197,"Koopa Armada"
"Cyber Twilight",2,"Afro",1,1544895274,"Koopa Armada"
"Quantumleaper NEO",0,"Fakinha",2,1544895347,"Koopa Armada"
"Considera",-1,"BrianGun",0,1544895515,"Koopa Armada"
"Messias",1,"Sully",2,1544895543,"Koopa Armada"
"KD",0,"Abaca",2,1544895642,"Koopa Armada"
"Prolo",2,"Calvao",0,1544895693,"Koopa Armada"
"Roboto",2,"chapeudopresto",0,1544896032,"Koopa Armada"
"Danny",0,"Monado",2,1544896046,"Koopa Armada"
"RoD",2,"Gim",0,1544896066,"Koopa Armada"
"Zombie Hunter",0,"Korn",2,1544896263,"Koopa Armada"
"Sonic Orochi",2,"Pete",0,1544896322,"Koopa Armada"
"Leso",2,"Moonflair",0,1544896489,"Koopa Armada"
"BeBop",2,"Daftmind",0,1544896601,"Koopa Armada"
"gamer girl",2,"Thiago Neoob",0,1544897224,"Koopa Armada"
"RitsuoFox",2,"Prolo",1,1544897261,"Koopa Armada"
"Ultimate",2,"Maycky",0,1544897297,"Koopa Armada"
"donotc0ntinue",2,"Pe de Moleque",1,1544897374,"Koopa Armada"
"Luij",0,"Dethnerv",2,1544897413,"Koopa Armada"
"Elias",2,"Burt<e3>o",1,1544897498,"Koopa Armada"
"Mr. Z",0,"NotDrope",-1,1544897523,"Koopa Armada"
"Considera",-1,"Blaze",0,1544897552,"Koopa Armada"
"Sahione Advogados",0,"SKPeter",2,1544897610,"Koopa Armada"
"IzZI127",0,"LeoDT",-1,1544897722,"Koopa Armada"
"Joker",-1,"Flamon",0,1544897743,"Koopa Armada"
"Sahione Advogados",0,"Monge",-1,1544897811,"Koopa Armada"
"Quantumleaper NEO",0,"Rafaellsg",-1,1544897923,"Koopa Armada"
"Floko",2,"Kanto",0,1544898084,"Koopa Armada"
"Neptune",0,"RoD",2,1544898256,"Koopa Armada"
"Afro",2,"Mr. Z",0,1544898331,"Koopa Armada"
"BeBop",2,"Korn",0,1544898414,"Koopa Armada"
"LukeThomaz",-1,"Gotelho",0,1544898482,"Koopa Armada"
"Jab Air",1,"Sabino",2,1544898728,"Koopa Armada"
"TROVS",0,"Xoni",-1,1544898803,"Koopa Armada"
"Cyber Twilight",2,"BrianGun",1,1544898848,"Koopa Armada"
"Daftmind",0,"Lee King",-1,1544898891,"Koopa Armada"
"Blaze",0,"Afro",2,1544898920,"Koopa Armada"
"BrunoLana",1,"MiniGoku",2,1544899025,"Koopa Armada"
"Xalusc",-1,"Festa",0,1544899067,"Koopa Armada"
"chapeudopresto",2,"D4C",0,1544899094,"Koopa Armada"
"Moonflair",2,"Ozzy",1,1544899215,"Koopa Armada"
"Pe de Moleque",-1,"GodUsopp",0,1544899274,"Koopa Armada"
"Zord",0,"Damin",-1,1544899280,"Koopa Armada"
"Xalusc",-1,"Owlogy",0,1544899285,"Koopa Armada"
"Maycky",0,"FR7",-1,1544899297,"Koopa Armada"
"gamer girl",2,"SKPeter",0,1544899420,"Koopa Armada"
"Roboto",0,"Dr. Lemos",2,1544899494,"Koopa Armada"
"Vyse",2,"Sully",0,1544899559,"Koopa Armada"
"Sosser",2,"Abaca",0,1544899644,"Koopa Armada"
"Quantumleaper NEO",2,"TROVS",0,1544899680,"Koopa Armada"
"Zombie Hunter",0,"Renault",-1,1544899700,"Koopa Armada"
"Floko",2,"Guizo",0,1544899859,"Koopa Armada"
"MICK",0,"Neoob",-1,1544899907,"Koopa Armada"
"Maleson",2,"RoD",0,1544899944,"Koopa Armada"
"Thiago Neoob",-1,"Gotelho",0,1544899985,"Koopa Armada"
"Luffy",2,"Thales",0,1544899986,"Koopa Armada"
"Roc~",2,"Lorenzo",0,1544900022,"Koopa Armada"
"Luke Thomaz",-1,"Celly",0,1544900025,"Koopa Armada"
"Burt<e3>o",2,"Gim",0,1544900122,"Koopa Armada"
"GodUsopp",0,"Burt<e3>o",2,1544900132,"Koopa Armada"
"Zombie Hunter",0,"Daftmind",2,1544900367,"Koopa Armada"
"Neptune",2,"Frostfire",0,1544900386,"Koopa Armada"
"Miguelindo",2,"Linus",0,1544900447,"Koopa Armada"
"Flamon",-1,"chapeudopresto",0,1544900546,"Koopa Armada"
"RitsuoFox",2,"Monado",0,1544900594,"Koopa Armada"
