"p1","p2","sets","set_wins_p1","set_wins_p2","game_wins_p1","game_wins_p2","tournaments"
"Luffy","RevoS",13,12,1,38,7,"Smash N' Magic, Smash N' Magic - 2nd Edition, Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Twilight's Awakening, Try Hard Smash in Rio #1, Try Hard Smash in Rio #1, TwS - Forest Temple, TwS - Forest Temple, Set Fire 3, Set Fire 3, TwS - Fire Temple, TwS - Fire Temple"
"RevoS","Ultimate",12,10,2,32,14,"Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Try Hard Smash in Rio #1, Try Hard Smash in Rio #1, Try Hard Smash in Rio #2, Try Hard Smash in Rio #2, TwS - Forest Temple, TwS - Forest Temple, Try Hard Smash in Rio #3, Try Hard Smash in Rio #3, Try Hard Smash in Rio #3, Try Hard Smash in Rio #5"
"RevoS","Sabino",8,8,0,21,3,"Smash Heat 2, Smash Season Fest: Falling Leaves, Battle Of Hyrule, Smash n' Magic - 5th Edition, Smash n' Magic - 5th Edition, TwS - Forest Temple, Set Fire 3, TwS - Fire Temple"
"Sky","Ultimate",8,6,2,19,10,"Koopa Armada, Smash Season Fest: Smash Heat, Smash N' Magic, Smash N' Magic - 2nd Edition, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Smash n' Magic - 5th Edition, TwS - Forest Temple"
"Amortax","Ultimate",7,2,5,8,14,"Smash Season Fest: Smash Heat, Smash Heat 2, Try Hard Smash in Rio #1, Try Hard Smash in Rio #2, TwS - Forest Temple, Try Hard Smash in Rio #5, Try Hard Smash in Rio #5"
"Ihmo","RevoS",6,0,6,4,15,"Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #3, Try Hard Smash in Rio #4, Set Fire 3, Try Hard Smash in Rio #5"
"Luffy","LUGIA",6,6,0,17,3,"Smash N' Magic, Smash Season Fest: Falling Leaves, Twilight's Awakening, Battle Of Hyrule, Smash n' Magic - 4th Edition, Smash n' Magic - 4th Edition"
"Luffy","Sky",6,3,3,12,11,"Koopa Armada, Koopa Armada, Smash N' Magic, Battle Of Hyrule, Smash n' Magic - 5th Edition, Smash n' Magic - 5th Edition"
"RevoS","Sky",6,3,3,12,10,"Smash N' Magic, Smash N' Magic - 2nd Edition, Smash N' Magic - 3rd Edition, Smash n' Magic - 5th Edition, Smash n' Magic - 5th Edition, TwS - Fire Temple"
"Afro","FireEmblem",5,3,2,7,8,"Twilight's Awakening, Smash N' Magic - 3rd Edition, TORNEIO LEGAL, Beer Reversal #12 - Primeiro de 2020!, Beer Reversal #12 - Primeiro de 2020!"
"Afro","Ozzy",5,5,0,10,1,"Koopa Armada, Smash Season Fest: Smash Heat, Smash N' Magic - 2nd Edition, Twilight's Awakening, Set Fire 3"
"Amortax","Haxwei",5,4,1,9,5,"Smash Season Fest: Smash Heat, Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #2, Try Hard Smash in Rio #5"
"FireEmblem","Haxwei",5,3,2,10,7,"TORNEIO LEGAL, Try Hard Smash in Rio #4, Try Hard Smash in Rio #4, TwS - Fire Temple, Beer Reversal #12 - Primeiro de 2020!"
"Haxwei","Ihmo",5,3,2,8,6,"Try Hard Smash in Rio #1, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #3, Try Hard Smash in Rio #4, Try Hard Smash in Rio #5"
"Ihmo","Mimok",5,1,4,5,10,"Fight in Rio for the Future, Fight in Rio for the Future, Try Hard Smash in Rio #1, TwS - Forest Temple, Set Fire 3"
"LUGIA","RevoS",5,2,3,8,11,"Smash Heat 2, Smash N' Magic, Twilight's Awakening, Twilight's Awakening, Battle Of Hyrule"
"LUGIA","Ultimate",5,2,3,8,9,"Smash Season Fest: Smash Heat, Smash N' Magic, Smash Season Fest: Falling Leaves, Battle Of Hyrule, Try Hard Smash in Rio #1"
"Mimok","Roboto",5,4,1,12,10,"Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Smash N' Magic - 3rd Edition, Smash N' Magic - 3rd Edition, Set Fire 3"
"RevoS","Roboto",5,4,1,10,3,"Smash Season Fest: Smash Heat, Smash Heat 2, Smash Heat 2, Smash N' Magic, Smash N' Magic - 2nd Edition"
"Afro","BeBop",4,0,4,2,10,"Koopa Armada, Smash n' Magic - 4th Edition, Smash n' Magic - 5th Edition, Set Fire 3"
"Afro","S/Chance",4,4,0,8,2,"Twilight's Awakening, Battle Of Hyrule, Smash n' Magic - 4th Edition, Set Fire 3"
"Amortax","RevoS",4,0,4,2,11,"Twilight's Awakening, Try Hard Smash in Rio #1, Try Hard Smash in Rio #2, Try Hard Smash in Rio #5"
"BeBop","Maleson",4,2,2,6,4,"Smash N' Magic, Fight in Rio for the Future, Smash N' Magic - 3rd Edition, Smash N' Magic - 3rd Edition"
"FireEmblem","RevoS",4,0,4,2,10,"Twilight's Awakening, Try Hard Smash in Rio #4, Set Fire 3, TwS - Fire Temple"
"FireEmblem","Ultimate",4,0,4,1,10,"Fight in Rio for the Future, Smash n' Magic - 5th Edition, Try Hard Smash in Rio #2, TwS - Forest Temple"
"Fy","Haxwei",4,0,4,1,9,"Smash N' Magic - 3rd Edition, Try Hard Smash in Rio #3, Try Hard Smash in Rio #4, Beer Reversal #12 - Primeiro de 2020!"
