"player";"elo";"set_wins";"total_sets";"set_perc";"game_wins";"total_games";"game_perc";"tournaments"
"Luffy";1743,17789439202;39;44;0,886363636363636;104;133;0,781954887218045;7
"RevoS";1685,93294842663;41;55;0,745454545454545;110;161;0,683229813664596;8
"Sky";1654,44322673989;40;50;0,8;100;141;0,709219858156028;8
"Roboto";1639,75404876839;36;51;0,705882352941177;94;140;0,671428571428571;8
"Sosser";1626,65722865826;18;24;0,75;46;69;0,666666666666667;3
"LUGIA";1612,76350066008;22;34;0,647058823529412;58;97;0,597938144329897;6
"Ultimate";1599,14474802525;37;56;0,660714285714286;95;163;0,582822085889571;10
"Sabino";1588,53143815305;28;42;0,666666666666667;65;110;0,590909090909091;7
"Mimok";1587,56400707132;25;36;0,694444444444444;60;104;0,576923076923077;6
"BeBop";1585,29627372452;27;44;0,613636363636364;65;110;0,590909090909091;9
"Player 7";1574,41981773972;6;8;0,75;17;26;0,653846153846154;1
"S/Chance";1573,94781933252;23;39;0,58974358974359;55;90;0,611111111111111;8
"Haxwei";1569,9902372213;20;34;0,588235294117647;46;78;0,58974358974359;7
"Joaoarara";1566,96028448889;23;38;0,605263157894737;52;91;0,571428571428571;8
"mysterE";1563,46219209032;16;26;0,615384615384615;41;72;0,569444444444444;5
"Abaca";1556,92883049201;8;10;0,8;20;27;0,740740740740741;1
"Afro";1554,24161561664;27;44;0,613636363636364;63;108;0,583333333333333;9
"RitsuoFox";1550,94831312869;9;13;0,692307692307692;21;32;0,65625;2
"Amortax";1550,45604216372;17;28;0,607142857142857;39;69;0,565217391304348;6
"Maleson";1547,37443529399;28;48;0,583333333333333;65;114;0,570175438596491;10
"Floko";1545,03084012077;13;21;0,619047619047619;29;50;0,58;5
"Roc~";1540,48620144756;15;25;0,6;36;65;0,553846153846154;5
"Vyse";1536,82745145229;14;26;0,538461538461538;33;60;0,55;6
"Ihmo";1533,36323284043;14;27;0,518518518518518;34;66;0,515151515151515;7
"Jab Air";1529,93937408591;5;7;0,714285714285714;13;20;0,65;1
"Bent";1527,64763172046;8;12;0,666666666666667;17;29;0,586206896551724;2
"DJ";1527,05994562466;8;12;0,666666666666667;16;27;0,592592592592593;2
"Naval";1525,96840079246;9;15;0,6;21;37;0,567567567567568;3
"Chaud";1523,38888297376;4;6;0,666666666666667;8;12;0,666666666666667;1
"Elias";1521,83129802416;13;23;0,565217391304348;28;54;0,518518518518518;5
"Janjão";1521,48417125986;4;6;0,666666666666667;9;15;0,6;1
"João Lagoas";1520,47010918876;4;6;0,666666666666667;10;18;0,555555555555556;1
"ChaosPrime";1520,2981477422;16;28;0,571428571428571;35;65;0,538461538461538;6
"Golfinho";1519,10450897817;5;7;0,714285714285714;10;16;0,625;1
"Chino";1517,48270874382;12;22;0,545454545454545;27;52;0,519230769230769;5
"Muju";1514,30590159744;2;4;0,5;6;10;0,6;1
"LeoDT";1513,81657490978;7;13;0,538461538461538;16;30;0,533333333333333;3
