"pre1";"p1";"score1";"pre2";"p2";"score2";"round";"tournament"
"1";;"BrianGun";2;;"Aisengobay";0;"Winners Round 1";"Koopa Armada"
"2";;"Patraozin";0;;"MiniGoku";2;"Winners Round 1";"Koopa Armada"
"3";"AD";"Afro";2;;"Ozzy";0;"Winners Round 1";"Koopa Armada"
"4";;"Owlogy";0;;"Daftmind";2;"Winners Round 1";"Koopa Armada"
"5";;"KD";0;"S6";"Abaca";2;"Winners Round 1";"Koopa Armada"
"6";;"Drei";0;;"Dr. Lemos";2;"Winners Round 1";"Koopa Armada"
"7";;"Sully";2;;"Neoob";1;"Winners Round 1";"Koopa Armada"
"8";;"Dethnerv";2;;"Artch";1;"Winners Round 1";"Koopa Armada"
"9";"PH";"chapeudopresto";2;;"Linus";0;"Winners Round 1";"Koopa Armada"
"10";;"Celly";0;;"IzZI127";2;"Winners Round 1";"Koopa Armada"
"11";;"Burt<e3>o";2;"BKL";"Frostfire";1;"Winners Round 1";"Koopa Armada"
"12";;"D4C";0;;"Guizo";2;"Winners Round 1";"Koopa Armada"
"13";"BC";"RoD";2;;"Gim";0;"Winners Round 1";"Koopa Armada"
"14";"MK";"MICK";2;;"PokaTranca";0;"Winners Round 1";"Koopa Armada"
"15";;"GodUsopp";0;;"Maleson";2;"Winners Round 1";"Koopa Armada"
"16";"Cafil";"Prolo";2;;"Calvao";0;"Winners Round 1";"Koopa Armada"
"17";;"Fakinha";2;;"Gotelho";0;"Winners Round 1";"Koopa Armada"
"18";"UF";"Luma";2;;"Mini Roc";0;"Winners Round 1";"Koopa Armada"
"19";;"Quantumleaper NEO";2;;"LukeThomaz";0;"Winners Round 1";"Koopa Armada"
"20";;"Mr. Z";0;;"Leso";2;"Winners Round 1";"Koopa Armada"
"21";;"Maycky";2;;"Renault";1;"Winners Round 1";"Koopa Armada"
"22";;"Jayache";0;"UF";"Sabino";2;"Winners Round 1";"Koopa Armada"
"23";"NGS";"Blaze";1;;"Thales";2;"Winners Round 1";"Koopa Armada"
"24";;"BrunoLana";2;;"Jayache";0;"Losers Round 1";"Koopa Armada"
"25";;"Kanto";0;;"Drei";2;"Losers Round 2";"Koopa Armada"
"26";;"Miguelindo";2;;"Linus";0;"Losers Round 2";"Koopa Armada"
"27";;"Moonflair";2;;"Ozzy";1;"Losers Round 2";"Koopa Armada"
"28";"TSL";"Jab Air";2;;"Patraozin";0;"Losers Round 1";"Koopa Armada"
"29";"PH";"chapeudopresto";2;;"D4C";0;"Losers Round 2";"Koopa Armada"
"30";"Cafil";"Prolo";2;;"Artch";0;"Losers Round 1";"Koopa Armada"
"31";;"Neptune";2;"BKL";"Frostfire";0;"Losers Round 1";"Koopa Armada"
"32";;"Messias";2;;"PokaTranca";1;"Losers Round 2";"Koopa Armada"
"33";;"Burt<e3>o";2;;"Gim";0;"Losers Round 1";"Koopa Armada"
"34";"AD";"Afro";2;;"Mr. Z";0;"Losers Round 2";"Koopa Armada"
"35";;"Luij";2;;"Calvao";0;"Losers Round 1";"Koopa Armada"
"36";"S6";"Abaca";2;;"Mini Roc";0;"Losers Round 1";"Koopa Armada"
"37";;"Sahione Advogados";0;"PLG";"SKPeter";2;"Winners Round 2";"Koopa Armada"
"38";;"gamer girl";2;;"Thiago Neoob";0;"Winners Round 2";"Koopa Armada"
"39";;"Zombie Hunter";0;;"Korn";2;"Winners Round 2";"Koopa Armada"
"40";;"BrunoLana";1;;"MiniGoku";2;"Winners Round 2";"Koopa Armada"
"41";;"Cyber Twilight";2;"AD";"Afro";1;"Winners Round 2";"Koopa Armada"
"42";"BenQ";"BeBop";2;;"Daftmind";0;"Winners Round 2";"Koopa Armada"
"43";;"Sosser";2;"S6";"Abaca";0;"Winners Round 2";"Koopa Armada"
"44";;"Roboto";2;"PH";"chapeudopresto";0;"Winners Round 2";"Koopa Armada"
"45";;"Messias";1;;"Sully";2;"Winners Round 2";"Koopa Armada"
"46";;"donotc0ntinue";2;;"Pe de Moleque";1;"Winners Round 2";"Koopa Armada"
"47";;"Luij";0;;"Dethnerv";2;"Winners Round 2";"Koopa Armada"
"48";;"Miguelindo";0;;"Guizo";2;"Winners Round 2";"Koopa Armada"
"49";;"Vyse";2;;"IzZI127";0;"Winners Round 2";"Koopa Armada"
"50";;"Elias";2;;"Burt<e3>o";1;"Winners Round 2";"Koopa Armada"
"51";"DASH";"Sonic Orochi";2;"AD";"Pete";0;"Winners Round 2";"Koopa Armada"
"52";;"Floko";2;;"Kanto";0;"Winners Round 2";"Koopa Armada"
"53";;"Neptune";0;"BC";"RoD";2;"Winners Round 2";"Koopa Armada"
"54";;"Danny";0;"TM";"Monado";2;"Winners Round 2";"Koopa Armada"
"55";;"Quantumleaper NEO";0;;"Fakinha";2;"Winners Round 2";"Koopa Armada"
"56";"BC";"Roc~";2;"MK";"MICK";0;"Winners Round 2";"Koopa Armada"
"57";"OwO";"RitsuoFox";2;"Cafil";"Prolo";1;"Winners Round 2";"Koopa Armada"
"58";"DASH";"Zord";0;;"Maleson";2;"Winners Round 2";"Koopa Armada"
"59";;"FullMoon";2;;"TROVS";0;"Winners Round 2";"Koopa Armada"
"60";;"Leso";2;;"Moonflair";0;"Winners Round 2";"Koopa Armada"
"61";"FDP";"Luffy";2;;"Thales";0;"Winners Round 2";"Koopa Armada"
"62";"UF";"Ultimate";2;;"Maycky";0;"Winners Round 2";"Koopa Armada"
"63";"TSL";"Jab Air";1;"UF";"Sabino";2;"Winners Round 2";"Koopa Armada"
"64";;"Quantumleaper NEO";2;;"TROVS";0;"Losers Round 3";"Koopa Armada"
"65";;"Miguelindo";1;;"Drei";2;"Losers Round 3";"Koopa Armada"
"66";;"Moonflair";2;;"Thales";0;"Losers Round 3";"Koopa Armada"
"67";;"Sahione Advogados";2;;"Gotelho";0;"Losers Round 3";"Koopa Armada"
"68";;"Celly";0;"MK";"MICK";2;"Losers Round 3";"Koopa Armada"
"69";;"Owlogy";0;;"Maycky";2;"Losers Round 2";"Koopa Armada"
"70";;"KD";1;"TSL";"Jab Air";2;"Losers Round 2";"Koopa Armada"
"71";;"Messias";0;;"IzZI127";2;"Losers Round 3";"Koopa Armada"
"72";;"Neptune";0;"DASH";"Zord";2;"Losers Round 2";"Koopa Armada"
"73";"NGS";"Blaze";0;"AD";"Afro";2;"Losers Round 3";"Koopa Armada"
"74";;"Luij";0;"AD";"Pete";2;"Losers Round 2";"Koopa Armada"
"75";;"GodUsopp";0;;"Burt<e3>o";2;"Losers Round 2";"Koopa Armada"
"76";;"BrunoLana";1;"S6";"Abaca";2;"Losers Round 2";"Koopa Armada"
"77";;"Zombie Hunter";0;;"Daftmind";2;"Losers Round 2";"Koopa Armada"
"78";;"Roboto";2;;"Quantumleaper NEO";0;"Losers Round 4";"Koopa Armada"
"79";"PLG";"SKPeter";2;;"Drei";0;"Losers Round 4";"Koopa Armada"
"80";;"FullMoon";2;"PH";"chapeudopresto";0;"Losers Round 4";"Koopa Armada"
"81";;"Sully";0;;"Moonflair";2;"Losers Round 4";"Koopa Armada"
"82";;"Guizo";0;;"Sahione Advogados";2;"Losers Round 4";"Koopa Armada"
"83";;"BrianGun";2;"MK";"MICK";0;"Losers Round 4";"Koopa Armada"
"84";;"donotc0ntinue";0;;"Maycky";2;"Losers Round 3";"Koopa Armada"
"85";;"Dethnerv";0;"TSL";"Jab Air";2;"Losers Round 3";"Koopa Armada"
"86";;"Leso";1;;"IzZI127";2;"Losers Round 4";"Koopa Armada"
"87";;"Korn";0;"DASH";"Zord";2;"Losers Round 3";"Koopa Armada"
"88";;"MiniGoku";2;"Cafil";"Prolo";0;"Losers Round 3";"Koopa Armada"
"89";"CAFIL";"Lorenzo";0;"AD";"Afro";2;"Losers Round 4";"Koopa Armada"
"90";"UF";"Luma";2;"AD";"Pete";0;"Losers Round 3";"Koopa Armada"
"91";;"Festa";0;;"Burt<e3>o";2;"Losers Round 3";"Koopa Armada"
"92";"BC";"RoD";2;;"Daftmind";0;"Losers Round 3";"Koopa Armada"
"93";"TM";"Monado";0;"S6";"Abaca";2;"Losers Round 3";"Koopa Armada"
"94";;"gamer girl";2;"PLG";"SKPeter";0;"Winners Quarter-Final";"Koopa Armada"
"95";;"Roboto";0;;"Dr. Lemos";2;"Winners Quarter-Final";"Koopa Armada"
"96";;"Cyber Twilight";2;;"BrianGun";1;"Winners Quarter-Final";"Koopa Armada"
"97";"BenQ";"BeBop";2;;"Korn";0;"Winners Quarter-Final";"Koopa Armada"
"98";;"Sosser";2;;"MiniGoku";0;"Winners Quarter-Final";"Koopa Armada"
"99";;"Floko";2;;"Guizo";0;"Winners Quarter-Final";"Koopa Armada"
"100";;"Vyse";2;;"Sully";0;"Winners Quarter-Final";"Koopa Armada"
"101";;"Elias";2;;"donotc0ntinue";0;"Winners Quarter-Final";"Koopa Armada"
"102";"DASH";"Sonic Orochi";2;;"Dethnerv";0;"Winners Quarter-Final";"Koopa Armada"
"103";;"FullMoon";1;;"Fakinha";2;"Winners Quarter-Final";"Koopa Armada"
"104";"BC";"Roc~";2;"CAFIL";"Lorenzo";0;"Winners Quarter-Final";"Koopa Armada"
"105";"OwO";"RitsuoFox";2;"TM";"Monado";0;"Winners Quarter-Final";"Koopa Armada"
"106";;"Maleson";2;"BC";"RoD";0;"Winners Quarter-Final";"Koopa Armada"
"107";"FDP";"Luffy";2;;"Leso";0;"Winners Quarter-Final";"Koopa Armada"
"108";"UF";"Ultimate";2;;"Festa";0;"Winners Quarter-Final";"Koopa Armada"
"109";"UF";"Sabino";2;"UF";"Luma";0;"Winners Quarter-Final";"Koopa Armada"
"110";"PLG";"SKPeter";0;;"Roboto";2;"Losers Round 5";"Koopa Armada"
"111";;"Sahione Advogados";2;;"FullMoon";1;"Losers Round 5";"Koopa Armada"
"112";;"BrianGun";2;;"Moonflair";1;"Losers Round 5";"Koopa Armada"
"113";"AD";"Afro";2;;"IzZI127";0;"Losers Round 5";"Koopa Armada"
"114";"DASH";"Zord";2;;"Maycky";1;"Losers Round 4";"Koopa Armada"
"115";;"MiniGoku";1;"TSL";"Jab Air";2;"Losers Round 4";"Koopa Armada"
"116";"BC";"RoD";1;;"Burt<e3>o";2;"Losers Round 4";"Koopa Armada"
"117";"S6";"Abaca";2;"UF";"Luma";0;"Losers Round 4";"Koopa Armada"
"118";;"Fakinha";0;;"Roboto";2;"Losers Quarter-Final";"Koopa Armada"
"119";;"Dr. Lemos";0;;"Sahione Advogados";2;"Losers Quarter-Final";"Koopa Armada"
